性別,分野,年齢,距離,毎月の収入,デバイス,地域PR動画の長さ,プラットフォーム,途中でやめる,動画頻度,旅行,景観,歴史文化,グルメ,特産品,イベント,現地に行きたい
女性,芸術系,10代,10km以内,1万円以下,スマートフォン,15秒以内,YouTube,経験ある,5,5,4,4,5,5,5,5
女性,芸術系,10代,10km以内,5-10万円,テレビ,1分間以内,YouTube,経験ある,5,2,5,5,5,5,5,4
女性,芸術系,10代,10km以内,3-5万円,スマートフォン,30秒以内,Twitter,経験ない,5,5,5,5,5,4,4,4
男性,芸術系,50代,10km以内,40-50万円,テレビ,30秒以内,YouTube,経験ある,5,5,5,4,5,5,4,3
女性,芸術系,10代,10km以内,5-10万円,スマートフォン,15秒以内,TikTok,経験ある,5,5,5,2,5,5,5,4
女性,芸術系,10代,10km以内,3-5万円,スマートフォン,15秒以内,Instagram,経験ある,5,5,5,5,5,5,5,4
女性,文系,20代,10km-20km,5-10万円,スマートフォン,30秒以内,YouTube,経験ある,5,5,5,5,5,5,4,5
男性,文系,40代,10km以内,40-50万円,スマートフォン,1分間以内,Instagram,経験ある,5,4,3,4,4,3,3,4
男性,文系,20代,10km以内,3-5万円,スマートフォン,30秒以内,Instagram,経験ある,5,4,4,3,4,3,5,4
男性,文系,20代,10km以内,5-10万円,スマートフォン,5分間以内,公式サイト,経験ある,5,5,5,5,5,5,5,5
女性,文系,30代,10km-20km,20-30万円,スマートフォン,1分間以内,Instagram,経験ある,5,5,4,3,5,4,3,4
